"Statistic","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1981M03","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M03","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981M04","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","143"
"Fertiliser Price","1981M04","Urea (46% N)","Euro per Tonne","185"
"Fertiliser Price","1981M04","Granular Superphosphate (16% P)","Euro per Tonne","203"
"Fertiliser Price","1981M04","Muriate of Potash (50% K)","Euro per Tonne","136"
"Fertiliser Price","1981M04","Compound 0-10-20","Euro per Tonne","160"
"Fertiliser Price","1981M04","Compound 0-7-30","Euro per Tonne","158"
"Fertiliser Price","1981M04","Compound 7-6-17","Euro per Tonne","193"
"Fertiliser Price","1981M04","Compound 10-10-20","Euro per Tonne","199"
"Fertiliser Price","1981M04","Compound 14-7-14","Euro per Tonne","189"
"Fertiliser Price","1981M04","Compound 18-6-12","Euro per Tonne","188"
"Fertiliser Price","1981M04","Compound 24-2.5-10","Euro per Tonne","181"
"Fertiliser Price","1981M04","Compound 27-2.5-5","Euro per Tonne","178"
"Fertiliser Price","1981M04","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981M04","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981M04","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981M04","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981M04","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981M04","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981M04","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981M04","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981M04","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981M04","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981M04","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M04","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981M05","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","145"
"Fertiliser Price","1981M05","Urea (46% N)","Euro per Tonne","186"
"Fertiliser Price","1981M05","Granular Superphosphate (16% P)","Euro per Tonne","204"
"Fertiliser Price","1981M05","Muriate of Potash (50% K)","Euro per Tonne","136"
"Fertiliser Price","1981M05","Compound 0-10-20","Euro per Tonne","161"
"Fertiliser Price","1981M05","Compound 0-7-30","Euro per Tonne","159"
"Fertiliser Price","1981M05","Compound 7-6-17","Euro per Tonne","193"
"Fertiliser Price","1981M05","Compound 10-10-20","Euro per Tonne","201"
"Fertiliser Price","1981M05","Compound 14-7-14","Euro per Tonne","190"
"Fertiliser Price","1981M05","Compound 18-6-12","Euro per Tonne","189"
"Fertiliser Price","1981M05","Compound 24-2.5-10","Euro per Tonne","183"
"Fertiliser Price","1981M05","Compound 27-2.5-5","Euro per Tonne","180"
"Fertiliser Price","1981M05","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981M05","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981M05","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981M05","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981M05","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981M05","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981M05","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981M05","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981M05","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981M05","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981M05","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M05","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981M06","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","146"
"Fertiliser Price","1981M06","Urea (46% N)","Euro per Tonne","187"
"Fertiliser Price","1981M06","Granular Superphosphate (16% P)","Euro per Tonne","205"
"Fertiliser Price","1981M06","Muriate of Potash (50% K)","Euro per Tonne","135"
"Fertiliser Price","1981M06","Compound 0-10-20","Euro per Tonne","162"
"Fertiliser Price","1981M06","Compound 0-7-30","Euro per Tonne","160"
"Fertiliser Price","1981M06","Compound 7-6-17","Euro per Tonne","193"
"Fertiliser Price","1981M06","Compound 10-10-20","Euro per Tonne","201"
"Fertiliser Price","1981M06","Compound 14-7-14","Euro per Tonne","190"
"Fertiliser Price","1981M06","Compound 18-6-12","Euro per Tonne","190"
"Fertiliser Price","1981M06","Compound 24-2.5-10","Euro per Tonne","184"
"Fertiliser Price","1981M06","Compound 27-2.5-5","Euro per Tonne","181"
"Fertiliser Price","1981M06","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981M06","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981M06","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981M06","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981M06","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981M06","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981M06","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981M06","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981M06","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981M06","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981M06","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M06","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981M07","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","146"
"Fertiliser Price","1981M07","Urea (46% N)","Euro per Tonne","187"
"Fertiliser Price","1981M07","Granular Superphosphate (16% P)","Euro per Tonne","206"
"Fertiliser Price","1981M07","Muriate of Potash (50% K)","Euro per Tonne","138"
"Fertiliser Price","1981M07","Compound 0-10-20","Euro per Tonne","163"
"Fertiliser Price","1981M07","Compound 0-7-30","Euro per Tonne","160"
"Fertiliser Price","1981M07","Compound 7-6-17","Euro per Tonne","192"
"Fertiliser Price","1981M07","Compound 10-10-20","Euro per Tonne","201"
"Fertiliser Price","1981M07","Compound 14-7-14","Euro per Tonne","190"
"Fertiliser Price","1981M07","Compound 18-6-12","Euro per Tonne","189"
"Fertiliser Price","1981M07","Compound 24-2.5-10","Euro per Tonne","185"
"Fertiliser Price","1981M07","Compound 27-2.5-5","Euro per Tonne","182"
"Fertiliser Price","1981M07","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981M07","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981M07","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981M07","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981M07","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981M07","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981M07","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981M07","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981M07","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981M07","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981M07","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M07","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981M08","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","147"
"Fertiliser Price","1981M08","Urea (46% N)","Euro per Tonne","188"
"Fertiliser Price","1981M08","Granular Superphosphate (16% P)","Euro per Tonne","207"
"Fertiliser Price","1981M08","Muriate of Potash (50% K)","Euro per Tonne","139"
"Fertiliser Price","1981M08","Compound 0-10-20","Euro per Tonne","166"
"Fertiliser Price","1981M08","Compound 0-7-30","Euro per Tonne","163"
"Fertiliser Price","1981M08","Compound 7-6-17","Euro per Tonne","194"
"Fertiliser Price","1981M08","Compound 10-10-20","Euro per Tonne","202"
"Fertiliser Price","1981M08","Compound 14-7-14","Euro per Tonne","192"
"Fertiliser Price","1981M08","Compound 18-6-12","Euro per Tonne","192"
"Fertiliser Price","1981M08","Compound 24-2.5-10","Euro per Tonne","187"
"Fertiliser Price","1981M08","Compound 27-2.5-5","Euro per Tonne","184"
"Fertiliser Price","1981M08","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981M08","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981M08","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981M08","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981M08","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981M08","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981M08","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981M08","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981M08","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981M08","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981M08","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M08","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981M09","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","147"
"Fertiliser Price","1981M09","Urea (46% N)","Euro per Tonne","188"
"Fertiliser Price","1981M09","Granular Superphosphate (16% P)","Euro per Tonne","214"
"Fertiliser Price","1981M09","Muriate of Potash (50% K)","Euro per Tonne","145"
"Fertiliser Price","1981M09","Compound 0-10-20","Euro per Tonne","168"
"Fertiliser Price","1981M09","Compound 0-7-30","Euro per Tonne","166"
"Fertiliser Price","1981M09","Compound 7-6-17","Euro per Tonne","197"
"Fertiliser Price","1981M09","Compound 10-10-20","Euro per Tonne","205"
"Fertiliser Price","1981M09","Compound 14-7-14","Euro per Tonne","195"
"Fertiliser Price","1981M09","Compound 18-6-12","Euro per Tonne","194"
"Fertiliser Price","1981M09","Compound 24-2.5-10","Euro per Tonne","189"
"Fertiliser Price","1981M09","Compound 27-2.5-5","Euro per Tonne","186"
"Fertiliser Price","1981M09","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981M09","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981M09","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981M09","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981M09","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981M09","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981M09","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981M09","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981M09","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981M09","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981M09","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M09","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981M10","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","147"
"Fertiliser Price","1981M10","Urea (46% N)","Euro per Tonne","188"
"Fertiliser Price","1981M10","Granular Superphosphate (16% P)","Euro per Tonne","216"
"Fertiliser Price","1981M10","Muriate of Potash (50% K)","Euro per Tonne","145"
"Fertiliser Price","1981M10","Compound 0-10-20","Euro per Tonne","168"
"Fertiliser Price","1981M10","Compound 0-7-30","Euro per Tonne","165"
"Fertiliser Price","1981M10","Compound 7-6-17","Euro per Tonne","199"
"Fertiliser Price","1981M10","Compound 10-10-20","Euro per Tonne","205"
"Fertiliser Price","1981M10","Compound 14-7-14","Euro per Tonne","194"
"Fertiliser Price","1981M10","Compound 18-6-12","Euro per Tonne","194"
"Fertiliser Price","1981M10","Compound 24-2.5-10","Euro per Tonne","190"
"Fertiliser Price","1981M10","Compound 27-2.5-5","Euro per Tonne","187"
"Fertiliser Price","1981M10","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981M10","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981M10","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981M10","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981M10","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981M10","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981M10","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981M10","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981M10","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981M10","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981M10","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M10","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981M11","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","146"
"Fertiliser Price","1981M11","Urea (46% N)","Euro per Tonne","188"
"Fertiliser Price","1981M11","Granular Superphosphate (16% P)","Euro per Tonne","223"
"Fertiliser Price","1981M11","Muriate of Potash (50% K)","Euro per Tonne","146"
"Fertiliser Price","1981M11","Compound 0-10-20","Euro per Tonne","167"
"Fertiliser Price","1981M11","Compound 0-7-30","Euro per Tonne","165"
"Fertiliser Price","1981M11","Compound 7-6-17","Euro per Tonne","206"
"Fertiliser Price","1981M11","Compound 10-10-20","Euro per Tonne","205"
"Fertiliser Price","1981M11","Compound 14-7-14","Euro per Tonne","195"
"Fertiliser Price","1981M11","Compound 18-6-12","Euro per Tonne","194"
"Fertiliser Price","1981M11","Compound 24-2.5-10","Euro per Tonne","191"
"Fertiliser Price","1981M11","Compound 27-2.5-5","Euro per Tonne","188"
"Fertiliser Price","1981M11","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981M11","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981M11","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981M11","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981M11","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981M11","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981M11","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981M11","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981M11","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981M11","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981M11","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M11","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981M12","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","147"
"Fertiliser Price","1981M12","Urea (46% N)","Euro per Tonne","188"
"Fertiliser Price","1981M12","Granular Superphosphate (16% P)","Euro per Tonne","219"
"Fertiliser Price","1981M12","Muriate of Potash (50% K)","Euro per Tonne","144"
"Fertiliser Price","1981M12","Compound 0-10-20","Euro per Tonne","167"
"Fertiliser Price","1981M12","Compound 0-7-30","Euro per Tonne","164"
"Fertiliser Price","1981M12","Compound 7-6-17","Euro per Tonne","201"
"Fertiliser Price","1981M12","Compound 10-10-20","Euro per Tonne","204"
"Fertiliser Price","1981M12","Compound 14-7-14","Euro per Tonne","193"
"Fertiliser Price","1981M12","Compound 18-6-12","Euro per Tonne","193"
"Fertiliser Price","1981M12","Compound 24-2.5-10","Euro per Tonne","192"
"Fertiliser Price","1981M12","Compound 27-2.5-5","Euro per Tonne","188"
"Fertiliser Price","1981M12","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981M12","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981M12","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981M12","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981M12","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981M12","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981M12","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981M12","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981M12","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981M12","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981M12","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981M12","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1982M01","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","148"
"Fertiliser Price","1982M01","Urea (46% N)","Euro per Tonne","189"
"Fertiliser Price","1982M01","Granular Superphosphate (16% P)","Euro per Tonne","225"
"Fertiliser Price","1982M01","Muriate of Potash (50% K)","Euro per Tonne","145"
"Fertiliser Price","1982M01","Compound 0-10-20","Euro per Tonne","167"
"Fertiliser Price","1982M01","Compound 0-7-30","Euro per Tonne","165"
"Fertiliser Price","1982M01","Compound 7-6-17","Euro per Tonne","208"
"Fertiliser Price","1982M01","Compound 10-10-20","Euro per Tonne","205"
"Fertiliser Price","1982M01","Compound 14-7-14","Euro per Tonne","193"
"Fertiliser Price","1982M01","Compound 18-6-12","Euro per Tonne","194"
"Fertiliser Price","1982M01","Compound 24-2.5-10","Euro per Tonne","194"
"Fertiliser Price","1982M01","Compound 27-2.5-5","Euro per Tonne","191"
"Fertiliser Price","1982M01","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1982M01","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1982M01","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1982M01","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1982M01","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1982M01","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1982M01","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1982M01","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1982M01","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1982M01","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1982M01","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1982M01","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1982M02","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","151"
"Fertiliser Price","1982M02","Urea (46% N)","Euro per Tonne","192"
"Fertiliser Price","1982M02","Granular Superphosphate (16% P)","Euro per Tonne","233"
"Fertiliser Price","1982M02","Muriate of Potash (50% K)","Euro per Tonne","146"
"Fertiliser Price","1982M02","Compound 0-10-20","Euro per Tonne","168"
"Fertiliser Price","1982M02","Compound 0-7-30","Euro per Tonne","165"
"Fertiliser Price","1982M02","Compound 7-6-17","Euro per Tonne","209"
"Fertiliser Price","1982M02","Compound 10-10-20","Euro per Tonne","205"
"Fertiliser Price","1982M02","Compound 14-7-14","Euro per Tonne","193"
"Fertiliser Price","1982M02","Compound 18-6-12","Euro per Tonne","194"
"Fertiliser Price","1982M02","Compound 24-2.5-10","Euro per Tonne","195"
"Fertiliser Price","1982M02","Compound 27-2.5-5","Euro per Tonne","194"
"Fertiliser Price","1982M02","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1982M02","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1982M02","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1982M02","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1982M02","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1982M02","Compound 10-5-25","Euro per Tonne",""
